142,DE,John Deere,,,,,,
143,DAL,Delta Air Lines,,,,,,
144,XRAY,Dentsply Sirona,,,,,,
145,DVN,Devon Energy,,,,,,
146,DXCM,Dexcom,,,,,,
147,FANG,Diamondback Energy,,,,,,
148,DLR,Digital Realty,,,,,,
149,DFS,Discover Financial,,,,,,
150,DG,Dollar General,,,,,,
151,DLTR,Dollar Tree,,,,,,
152,D,Dominion Energy,,,,,,
153,DPZ,Domino's,,,,,,
154,DOV,Dover Corporation,,,,,,
155,DOW,Dow Inc.,,,,,,
156,DHI,DR Horton,,,,,,
157,DTE,DTE Energy,,,,,,
158,DUK,Duke Energy,,,,,,
159,DD,DuPont,,,,,,
160,EMN,Eastman Chemical Company,,,,,,
161,ETN,Eaton Corporation,,,,,,
162,EBAY,eBay,,,,,,
163,ECL,Ecolab,,,,,,
164,EIX,Edison International,,,,,,
165,EW,Edwards Lifesciences,,,,,,
166,EA,Electronic Arts,,,,,,
167,ELV,Elevance Health,,,,,,
168,LLY,Eli Lilly and Company,,,,,,
169,EMR,Emerson Electric,,,,,,
170,ENPH,Enphase,,,,,,
171,ETR,Entergy,,,,,,
172,EOG,EOG Resources,,,,,,
173,EPAM,EPAM Systems,,,,,,
174,EQT,EQT,,,,,,
175,EFX,Equifax,,,,,,
176,EQIX,Equinix,,,,,,
177,EQR,Equity Residential,,,,,,
178,ESS,Essex Property Trust,,,,,,
179,EL,Estée Lauder Companies (The),,,,,,
180,ETSY,Etsy,,,,,,
181,EG,Everest Re,,,,,,
182,EVRG,Evergy,,,,,,
183,ES,Eversource,,,,,,
184,EXC,Exelon,,,,,,
185,EXPE,Expedia Group,,,,,,
186,EXPD,Expeditors International,,,,,,
187,EXR,Extra Space Storage,,,,,,
188,XOM,ExxonMobil,,,,,,
189,FFIV,"F5, Inc.",,,,,,
190,FDS,FactSet,,,,,,
191,FICO,Fair Isaac,,,,,,
192,FAST,Fastenal,,,,,,
193,FRT,Federal Realty,,,,,,
194,FDX,FedEx,,,,,,
195,FIS,Fidelity National Information Services,,,,,,
196,FITB,Fifth Third Bank,,,,,,
197,FSLR,First Solar,,,,,,
198,FE,FirstEnergy,,,,,,
199,FI,Fiserv,,,,,,
200,FLT,Fleetcor,,,,,,
201,FMC,FMC Corporation,,,,,,
202,F,Ford Motor Company,,,,,,
203,FTNT,Fortinet,,,,,,
204,FTV,Fortive,,,,,,
205,FOXA,Fox Corporation (Class A),,,,,,
206,FOX,Fox Corporation (Class B),,,,,,
207,BEN,Franklin Templeton,,,,,,
208,FCX,Freeport-McMoRan,,,,,,
209,GRMN,Garmin,,,,,,
210,IT,Gartner,,,,,,
211,GEHC,GE HealthCare,,,,,,
212,GEN,Gen Digital,,,,,,
213,GNRC,Generac,,,,,,
214,GD,General Dynamics,,,,,,
215,GE,General Electric,,,,,,
216,GIS,General Mills,,,,,,
217,GM,General Motors,,,,,,
218,GPC,Genuine Parts Company,,,,,,
219,GILD,Gilead Sciences,,,,,,
220,GPN,Global Payments,,,,,,
221,GL,Globe Life,,,,,,
222,GS,Goldman Sachs,,,,,,
223,HAL,Halliburton,,,,,,
224,HIG,Hartford (The),,,,,,
225,HAS,Hasbro,,,,,,
226,HCA,HCA Healthcare,,,,,,
227,PEAK,Healthpeak,,,,,,
228,HSIC,Henry Schein,,,,,,
229,HSY,Hershey's,,,,,,
230,HES,Hess Corporation,,,,,,
231,HPE,Hewlett Packard Enterprise,,,,,,
232,HLT,Hilton Worldwide,,,,,,
233,HOLX,Hologic,,,,,,
234,HD,Home Depot (The),,,,,,
235,HON,Honeywell,,,,,,
236,HRL,Hormel Foods,,,,,,
237,HST,Host Hotels & Resorts,,,,,,
238,HWM,Howmet Aerospace,,,,,,
239,HPQ,HP Inc.,,,,,,
240,HUBB,Hubbell Incorporated,,,,,,
241,HUM,Humana,,,,,,
242,HBAN,Huntington Bancshares,,,,,,
243,HII,Huntington Ingalls Industries,,,,,,
244,IBM,IBM,,,,,,
245,IEX,IDEX Corporation,,,,,,
246,IDXX,Idexx Laboratories,,,,,,
247,ITW,Illinois Tool Works,,,,,,
248,ILMN,Illumina,,,,,,
249,INCY,Incyte,,,,,,
250,IR,Ingersoll Rand,,,,,,
251,PODD,Insulet,,,,,,
252,INTC,Intel,,,,,,
253,ICE,Intercontinental Exchange,,,,,,
254,IFF,International Flavors & Fragrances,,,,,,
255,IP,International Paper,,,,,,
256,IPG,Interpublic Group of Companies (The),,,,,,
257,INTU,Intuit,,,,,,
258,ISRG,Intuitive Surgical,,,,,,
259,IVZ,Invesco,,,,,,
260,INVH,Invitation Homes,,,,,,
261,IQV,IQVIA,,,,,,
262,IRM,Iron Mountain,,,,,,
263,JBHT,J.B. Hunt,,,,,,
264,JBL,Jabil,,,,,,
265,JKHY,Jack Henry & Associates,,,,,,
266,J,Jacobs Solutions,,,,,,
267,JNJ,Johnson & Johnson,,,,,,
268,JCI,Johnson Controls,,,,,,
269,JPM,JPMorgan Chase,,,,,,
270,JNPR,Juniper Networks,,,,,,
271,K,Kellanova,,,,,,
272,KVUE,Kenvue,,,,,,
273,KDP,Keurig Dr Pepper,,,,,,
274,KEY,KeyCorp,,,,,,
275,KEYS,Keysight,,,,,,
276,KMB,Kimberly-Clark,,,,,,
277,KIM,Kimco Realty,,,,,,
278,KMI,Kinder Morgan,,,,,,
279,KLAC,KLA Corporation,,,,,,
280,KHC,Kraft Heinz,,,,,,
281,KR,Kroger,,,,,,
282,LHX,L3Harris,,,,,,
283,LH,LabCorp,,,,,,
284,LRCX,Lam Research,,,,,,
285,LW,Lamb Weston,,,,,,
286,LVS,Las Vegas Sands,,,,,,
287,LDOS,Leidos,,,,,,
288,LEN,Lennar,,,,,,
289,LIN,Linde plc,,,,,,
290,LYV,Live Nation Entertainment,,,,,,
